run_id,exp_name,model_type,timestamp,n_features,train_mae_1d,train_mae_2d,train_mae_3d,train_mae_4d,train_mae_5d,train_mae_6d,train_mae_7d,train_mae_8d,train_mae_9d,train_mae_10d,train_mae_11d,train_mae_12d,train_mae_13d,train_mae_14d,train_mae_15d,train_mae_16d,train_mae_17d,train_mae_18d,train_mae_19d,train_mae_20d,train_mae_mean,val_mae_1d,val_mae_2d,val_mae_3d,val_mae_4d,val_mae_5d,val_mae_6d,val_mae_7d,val_mae_8d,val_mae_9d,val_mae_10d,val_mae_11d,val_mae_12d,val_mae_13d,val_mae_14d,val_mae_15d,val_mae_16d,val_mae_17d,val_mae_18d,val_mae_19d,val_mae_20d,val_mae_mean,test_mae_1d,test_mae_2d,test_mae_3d,test_mae_4d,test_mae_5d,test_mae_6d,test_mae_7d,test_mae_8d,test_mae_9d,test_mae_10d,test_mae_11d,test_mae_12d,test_mae_13d,test_mae_14d,test_mae_15d,test_mae_16d,test_mae_17d,test_mae_18d,test_mae_19d,test_mae_20d,test_mae_mean
2025-10-05_02-10-59_final_2_2025,final_2_2025,lightgbm,2025-10-05_02-10-59,50,0.008957589355399658,0.011142108023661355,0.01255450054039137,0.013805732686636572,0.014390567995905035,0.015438907986349332,0.015173174119812578,0.015293752634793472,0.015367426964599168,0.016575467492037112,0.016504750298481717,0.01710985553868405,0.017634905502944432,0.018938023981496764,0.019437127971483694,0.017835246648738107,0.017045731000307873,0.01713375679245853,0.01784329366698839,0.017331492675240114,0.015775670593820467,0.014284558528887095,0.0212936951267396,0.02527067232887688,0.028676072726548638,0.029062897432922816,0.030874016974585822,0.034001608762876945,0.03674761249225984,0.038453433545816255,0.038953614486199294,0.04122669493820598,0.042985779983930564,0.041218828267434345,0.03752294655439631,0.0391064002639872,0.038429092157288826,0.040101499336598324,0.0442137400798209,0.045089967492670496,0.04452355815061544,0.035601834481533076,0.014357855962843991,0.01920296802833384,0.022645202035695443,0.026620039117192778,0.02938679902950037,0.03261356362375332,0.033617942263934955,0.03334029479178963,0.03192318323179339,0.03086455867174283,0.03205939673169038,0.0343355637678138,0.0366005719950137,0.03527426938466726,0.04607601171266814,0.048972145080537294,0.04578213992437131,0.04954556372790531,0.05126103132013927,0.047236162986834834,0.03508576316941109
2025-10-04_22-52-47_my_experiment2,my_experiment2,lightgbm,2025-10-04_22-52-47,57,0.008769198690646511,0.010865596441739359,0.012433357790650777,0.013628192879443538,0.013900506758638142,0.014986270028118719,0.014032870658198495,0.015660638073909623,0.01589502944988619,0.016287794100631896,0.017134583429447018,0.017640903756335573,0.017944415423823225,0.018989425310093868,0.01902200543316076,0.01858720097863545,0.018778465388292444,0.01820019913855692,0.018584299526381434,0.018007188535815014,0.015967407089620245,0.014205178143069975,0.020806441353032067,0.0257122998672472,0.028273246902296132,0.02969724681127115,0.03149337106305663,0.03524195301846493,0.03634330597743273,0.03789098758945564,0.039460870571733406,0.041633802752015024,0.042423044160544224,0.041082073382230404,0.03761786596237407,0.03754101121629606,0.03872881778664914,0.04157976660369542,0.04381576979484565,0.043823869780981614,0.04666966732816871,0.03570202950324301,0.014492252863647517,0.01929015242617621,0.022981962520422977,0.027227144947178143,0.030721274959032235,0.03372761136031261,0.03421590082386467,0.03401343602841113,0.03292753756532155,0.03545338866972142,0.03381353697761961,0.035231452354790874,0.039362213769115834,0.042592608050079875,0.043812256962727184,0.0492658129827613,0.0507046609554857,0.053138156801375624,0.056094882994237004,0.05117314614494401,0.03701196950786128
2025-10-04_23-34-08_my_experiment,my_experiment,lightgbm,2025-10-04_23-34-08,57,0.008769198690646511,0.010865596441739359,0.012433357790650777,0.013628192879443538,0.013900506758638142,0.014986270028118719,0.014032870658198495,0.015660638073909623,0.01589502944988619,0.016287794100631896,0.017134583429447018,0.017640903756335573,0.017944415423823225,0.018989425310093868,0.01902200543316076,0.01858720097863545,0.018778465388292444,0.01820019913855692,0.018584299526381434,0.018007188535815014,0.015967407089620245,0.014205178143069975,0.020806441353032067,0.0257122998672472,0.028273246902296132,0.02969724681127115,0.03149337106305663,0.03524195301846493,0.03634330597743273,0.03789098758945564,0.039460870571733406,0.041633802752015024,0.042423044160544224,0.041082073382230404,0.03761786596237407,0.03754101121629606,0.03872881778664914,0.04157976660369542,0.04381576979484565,0.043823869780981614,0.04666966732816871,0.03570202950324301,0.014492252863647517,0.01929015242617621,0.022981962520422977,0.027227144947178143,0.030721274959032235,0.03372761136031261,0.03421590082386467,0.03401343602841113,0.03292753756532155,0.03545338866972142,0.03381353697761961,0.035231452354790874,0.039362213769115834,0.042592608050079875,0.043812256962727184,0.0492658129827613,0.0507046609554857,0.053138156801375624,0.056094882994237004,0.05117314614494401,0.03701196950786128
2025-10-05_00-09-15_genimi,genimi,lightgbm,2025-10-05_00-09-15,57,0.008851158920303654,0.010898998994950601,0.01228218273786896,0.013397138117337634,0.014243493158587415,0.015205512318036631,0.015423653664553859,0.01533207923096213,0.015774434882195,0.016346462458844812,0.016853774483095166,0.017618621654696687,0.017553268969772967,0.019264651983100907,0.018581924562200227,0.01823638070899884,0.017605490215633367,0.018284558620326418,0.018556137719929092,0.018506140660096138,0.015940803203074526,0.014155272274269146,0.020798829871092935,0.026015232599541305,0.02860882223011875,0.029318829243266266,0.03141055840548915,0.03621662948578904,0.037861008460561285,0.03938490426300186,0.03878609575103771,0.041690561010141014,0.04222379914885594,0.04062689049572774,0.038324947201187384,0.03983872875851553,0.037576618615711994,0.042616205499002684,0.04417495036020233,0.04554953314944259,0.0451378907974642,0.036015815381020944,0.014457804071649712,0.019334185077511234,0.022985954040693674,0.02687491935388704,0.030422569580809113,0.03304582334024402,0.03335775411975671,0.033317420418586444,0.03235784277505759,0.03383896061771011,0.03427517932536362,0.03570364494234962,0.037851405814375606,0.04070987735218491,0.046318084824520725,0.048389098983261665,0.04974648130271467,0.053856088872141425,0.05742301794194214,0.049624902512526256,0.03669455076336432
2025-10-05_01-09-09_llm_2,llm_2,lightgbm,2025-10-05_01-09-09,112,0.00914373417273221,0.011496130040777063,0.012596587236571066,0.013766131972757596,0.014375939704510817,0.015807697095946267,0.015406430217795052,0.01609221214898706,0.01630825799269689,0.01727376601218399,0.017409025466617566,0.019136369102252363,0.018879027452557047,0.019666811583289198,0.01951883699562354,0.018381906492039895,0.018588446663902556,0.017985224039741603,0.01834981005238624,0.017925343866852756,0.01640538441551104,0.014289192768039317,0.020882153691702758,0.025739666477296117,0.02901070382883355,0.02959571984479461,0.03180954755319601,0.03546933796098295,0.03678695039819695,0.038138827608353326,0.03996221783846306,0.040921450969689147,0.04115478262227462,0.03990920872680926,0.03932789384236378,0.038783258414296445,0.040195492632761086,0.0416092295463689,0.0450581459921618,0.04623224414170362,0.04729871318837948,0.03610873690233334,0.014359267676983794,0.019103701652172757,0.022768570621877864,0.026492003285902177,0.0299492555102847,0.033531964879246784,0.03253320927198915,0.032338624621272356,0.03253395681601068,0.03513049262028001,0.03481791074618885,0.03422083826866953,0.039150193037868465,0.03973438776925447,0.048360210476622076,0.05213538650266585,0.04705524283404364,0.05307526460793203,0.057487767392767744,0.048901957322189035,0.0366840102957111
2025-10-05_01-47-38_final_2,final_2,lightgbm,2025-10-05_01-47-38,112,0.0128809648813655,0.018084493417386844,0.021642075242628057,0.024804483597623855,0.027286487179183264,0.02969954140129559,0.032079724200608416,0.03466322252336374,0.035951019131935553,0.03803607950231317,0.03962668407516703,0.04044319799576658,0.04184556785060628,0.042516922007885066,0.0434763614368451,0.04545963306036641,0.045261055933920324,0.04705774321173234,0.047046891682526785,0.04876115395287567,0.03583116511426978,0.012552565455224603,0.01804172467958574,0.022087279816787646,0.025994187917481176,0.029869655379525066,0.0332153214101906,0.03655632303223775,0.03998455007291307,0.04322871346133373,0.04548213555536296,0.04841011485020807,0.05141438698092464,0.05349787254850383,0.05556283244567304,0.056850260377140874,0.0592047855018959,0.06171340877829558,0.06351258014316717,0.06581662262999499,0.06797998651138357,0.044548765377391504,0.01683045627267366,0.02423582782597057,0.030056086983504447,0.03547820324684271,0.04029946280654387,0.04456277435138905,0.048705003548754254,0.05245001599863463,0.055641198953682885,0.05830718040003314,0.060720018637677724,0.06375709381013633,0.0656079144078279,0.06767616013429915,0.07006702298230691,0.07241385304408274,0.07529342002943101,0.07746237426064292,0.08087028955917787,0.08324520152595326,0.05618397793897826
2025-10-04_22-09-17_lgbm_with_news,lgbm_with_news,lightgbm,2025-10-04_22-09-17,57,0.012185013636799132,0.017135559228580118,0.020585112999474568,0.02335169515297732,0.026052546646162106,0.028252491374714136,0.030391892621011916,0.03213984431530517,0.03436381338077784,0.03606464570568247,0.03760343637382126,0.038206375969569356,0.03978967049330383,0.04047663589502899,0.040915180378137184,0.042587206385252284,0.04378231964646198,0.04358708860682547,0.044990790665276024,0.046062728837153566,0.03392620241561574,0.012546116156744141,0.018114532168941582,0.02216754720043285,0.026070650518634154,0.029865747180882897,0.03340892070577086,0.03705927383838787,0.04024330878154454,0.04340742884994549,0.04561667998604664,0.048899154729096284,0.05098418265786717,0.052858791174347386,0.05468722401161623,0.05671383658926802,0.05907822030703947,0.06189018807066216,0.0640085087711465,0.0665520592371901,0.0682818422670239,0.04462271066012942,0.016899230777702258,0.024520854207615933,0.029911235489940124,0.03567113285825693,0.04045179838412707,0.044592378494156,0.048991625835221514,0.05268104098549091,0.05580308599144805,0.058253312072856014,0.06072986607270039,0.06395451732302193,0.06580669610370703,0.0680987231755174,0.07108471550990617,0.07340202402869402,0.07588178722596678,0.0781963711126379,0.08212585437095518,0.0849747572285411,0.05660155036242313
2025-10-04_22-37-10_lgbm_with_llm,lgbm_with_llm,lightgbm,2025-10-04_22-37-10,57,0.012046137649744534,0.016980366932611516,0.02053980309192382,0.023455004774028156,0.02588265455980949,0.02825007406684359,0.030548544007515457,0.03203008792969755,0.03409549158360632,0.03566876704776891,0.037241773204311324,0.038412004311252905,0.039603420457611054,0.040176090775671816,0.04157550767502905,0.042914987677002234,0.04398072952282412,0.044652170055308624,0.04547507210292078,0.04676007627502003,0.034014438185025066,0.012549453091164961,0.018042633308122582,0.0222631913710828,0.02617710514529019,0.029864940311260166,0.033552854988755466,0.03714062314043855,0.040026124263541615,0.04323657954337585,0.04567420653958138,0.048609429105035094,0.05108460977635005,0.05310286457946274,0.055041895680915796,0.05683632957864139,0.05907210978435395,0.06167327169156922,0.06423597884691577,0.06635805158693023,0.06851265537228256,0.04465274538525352,0.01692322758216655,0.02442418847432531,0.030093952043226565,0.03550031612706103,0.040443940664036705,0.0446084767848279,0.04869236951467599,0.052792279245115904,0.05597773912865782,0.058572805819042326,0.06069219994153219,0.0639600148673702,0.06581446430369545,0.06797416457785511,0.07071403117554255,0.0729655003905895,0.07526379554577024,0.07878432383932059,0.08153851557101134,0.08447011677800759,0.056510321118691545
2025-10-05_01-25-58_final_1,final_1,lightgbm,2025-10-05_01-25-58,112,0.012046137649744534,0.016980366932611516,0.02053980309192382,0.023455004774028156,0.02588265455980949,0.02825007406684359,0.030548544007515457,0.03203008792969755,0.03409549158360632,0.03566876704776891,0.037241773204311324,0.038412004311252905,0.039603420457611054,0.040176090775671816,0.04157550767502905,0.042914987677002234,0.04398072952282412,0.044652170055308624,0.04547507210292078,0.04676007627502003,0.034014438185025066,0.012549453091164961,0.018042633308122582,0.0222631913710828,0.02617710514529019,0.029864940311260166,0.033552854988755466,0.03714062314043855,0.040026124263541615,0.04323657954337585,0.04567420653958138,0.048609429105035094,0.05108460977635005,0.05310286457946274,0.055041895680915796,0.05683632957864139,0.05907210978435395,0.06167327169156922,0.06423597884691577,0.06635805158693023,0.06851265537228256,0.04465274538525352,0.01692322758216655,0.02442418847432531,0.030093952043226565,0.03550031612706103,0.040443940664036705,0.0446084767848279,0.04869236951467599,0.052792279245115904,0.05597773912865782,0.058572805819042326,0.06069219994153219,0.0639600148673702,0.06581446430369545,0.06797416457785511,0.07071403117554255,0.0729655003905895,0.07526379554577024,0.07878432383932059,0.08153851557101134,0.08447011677800759,0.056510321118691545
2025-10-05_02-05-33_final_2_1,final_2_1,lightgbm,2025-10-05_02-05-33,50,0.012361683774465126,0.017167156721178,0.02075497348192474,0.023630726830342192,0.026037506612423694,0.028343035354990526,0.031120208981571938,0.03259158861577112,0.03489326206833637,0.03626498812643644,0.037898967646693336,0.039003299698564496,0.03986841147653088,0.040356167706619026,0.0419814694174746,0.042795727972992324,0.04375388325529347,0.04498653296813973,0.044710151566540735,0.04620483527989106,0.034236228877808986,0.012593289071004335,0.018129639201166586,0.02229535526347756,0.026112490866655184,0.029820032041976426,0.03347017796516512,0.037087517326946574,0.04034087497299132,0.04304518636523147,0.04585303575893326,0.04849794029627004,0.05138880181125898,0.05361858183263019,0.05491524776329498,0.0567310782971927,0.05923791646920801,0.06143597766679726,0.06431920947208185,0.06690460826180808,0.06808733713524005,0.0446942148919665,0.016892094404445765,0.02431942086245198,0.030054862329294347,0.035524000978490705,0.04034401021395012,0.044861597497642035,0.048901153605312934,0.05279214941610486,0.05576160187576229,0.05838588266221144,0.06119679715100532,0.06369952963669999,0.06618372234828607,0.06775688097663145,0.07047443804619322,0.07314179842014532,0.07591450181128191,0.0778720763881064,0.08126404891404651,0.08357043769143276,0.056445550261474776
